year,mfr,division,carline,mfrid,index,displ,cyl,trans,citympg,highwaympg,combmpg,aspir,trans2,gears,drivesys,fuel,class,car_truck,fe_rating,ghg_rating,smog_rating
2018,Volkswagen Group of,Audi,S5 Sportback,VGA,9,3,6,Auto(AM-S8),21,30,24,TC,AMS,8,A,GP,Midsize Cars,car,5,5,5
2018,BMW,BMW,M550i xDrive,BMX,550,4.4,8,Auto(S8),16,25,19,TC,SA,8,A,GP,Midsize Cars,car,3,3,3
2018,General Motors,Cadillac,ATS,GMX,109,2,4,Auto(S8),22,31,25,TC,SA,8,R,GPR,Midsize Cars,car,5,5,5
2018,General Motors,Cadillac,ATS,GMX,415,2,4,Manual(M6),20,29,23,TC,M,6,R,GPR,Midsize Cars,car,5,5,5
2018,General Motors,Cadillac,ATS,GMX,410,3.6,6,Auto(S8),20,30,24,NA,SA,8,R,G,Midsize Cars,car,5,5,5
2018,General Motors,Cadillac,CTS,GMX,110,2,4,Auto(S8),22,30,25,TC,SA,8,R,GPR,Midsize Cars,car,5,5,5
2018,General Motors,Cadillac,CTS,GMX,411,3.6,6,Auto(S8),20,30,24,NA,SA,8,R,G,Midsize Cars,car,5,5,5
2018,General Motors,Cadillac,CTS,GMX,407,3.6,6,Auto(S8),16,24,19,TC,SA,8,R,GPR,Midsize Cars,car,3,3,3
2018,General Motors,Cadillac,CTS AWD,GMX,404,2,4,Auto(S8),21,29,24,TC,SA,8,A,GPR,Midsize Cars,car,5,5,5
2018,General Motors,Cadillac,CTS AWD,GMX,67,3.6,6,Auto(S8),19,27,22,NA,SA,8,A,G,Midsize Cars,car,4,4,5
2018,General Motors,Cadillac,CTS-V,GMX,412,6.2,8,Auto(S8),14,21,17,SC,SA,8,R,GPR,Midsize Cars,car,3,3,1
2018,General Motors,Chevrolet,MALIBU,GMX,180,1.5,4,Auto(A6),27,36,30,TC,A,6,F,G,Midsize Cars,car,7,7,7
2018,General Motors,Chevrolet,MALIBU,GMX,337,2,4,Auto(A9),22,32,26,TC,A,9,F,GPR,Midsize Cars,car,5,5,5
2018,Hyundai,HYUNDAI MOTOR COMPANY,Elantra,HYX,34,1.4,4,Auto(AM7),32,40,35,TC,AM,7,F,G,Midsize Cars,car,8,8,3
2018,Hyundai,HYUNDAI MOTOR COMPANY,Elantra,HYX,16,1.6,4,Auto(AM7),26,33,29,TC,AM,7,F,G,Midsize Cars,car,6,6,3
2018,Hyundai,HYUNDAI MOTOR COMPANY,Elantra,HYX,17,1.6,4,Manual(M6),22,30,25,TC,M,6,F,G,Midsize Cars,car,5,5,3
2018,Hyundai,HYUNDAI MOTOR COMPANY,Elantra,HYX,13,2,4,Auto(S6),28,37,32,NA,SA,6,F,G,Midsize Cars,car,7,7,5
2018,Hyundai,HYUNDAI MOTOR COMPANY,Elantra,HYX,14,2,4,Manual(M6),26,36,29,NA,M,6,F,G,Midsize Cars,car,6,6,5
2018,Hyundai,HYUNDAI MOTOR COMPANY,Elantra SE,HYX,15,2,4,Auto(S6),29,38,33,NA,SA,6,F,G,Midsize Cars,car,8,8,5
2018,Nissan,INFINITI,Q50,NSX,161,2,4,Auto(S7),23,30,25,TC,SA,7,R,GPR,Midsize Cars,car,5,5,3
2018,Nissan,INFINITI,Q50,NSX,131,3,6,Auto(S7),20,29,23,TC,SA,7,R,GPR,Midsize Cars,car,5,5,3
2018,Nissan,INFINITI,Q50 AWD,NSX,162,2,4,Auto(S7),22,28,24,TC,SA,7,A,GPR,Midsize Cars,car,5,5,3
